SISTEMA	LAGUNTZAILEA	PERTSONA	ORAINALDIA	LEHENALDIA	GEROALDIA	BALDINTZA	ADIBIDEA
NOR	naiz	ni	naiz	nintzen	izango naiz	banintz	Ni etorri naiz
NOR	haiz	hi	haiz	hintzen	izango haiz	bahintz	Hi etorri haiz
NOR	da	hura	da	zen	izango da	balitz	Hura etorri da
NOR	gara	gu	gara	ginen	izango gara	bagina	Gu etorri gara
NOR	zarete	zuek	zarete	zineten	izango zarete	bazinete	Zuek etorri zarete
NOR	zara	zu	zara	zinen	izango zara	bazina	Zu etorri zara
NOR	dira	haiek	dira	ziren	izango dira	balira	Haiek etorri dira
